cod,razao,fantasia,endereco,numero,bairro,cidade,uf,vendedores,lat,lng,precisao
18318,WILSON L.B DA SILVA E CIA LTDA,COM.BARRETO,R.LUIZ FRANCISCO MAFRA,421,CENTRO,SAO SEBASTIAO DO PARAISO,MG,7;8;79;168,-20.9124331,-46.9823296,cidade
18324,RESTAURANTE MARQUES LTDA,BAR E RESTAURANTE SANDRELE,RODOVIA BR 381,SN,ZONA RURAL,LAVRAS,MG,129;904,-21.3038032,-45.1552797,rua
18328,JOSE VANDERLEI PEREIRA ME,JOSE VANDERLEI PEREIRA ME,AV.SILVESTRE A.JUNQUEIRA FERRAZ,1415,BOA VISTA,ITAJUBA,MG,32;52;72;156,-22.4238234,-45.4524156,cidade
18331,MERCADINHO NF LTDA,JOAO BENEDITO PEREIRA DE CASTR,AV PEDRO ANTONIO DOS REIS,51,BELA VISTA,BRASOPOLIS,MG,14;36;62;80,-22.4796679,-45.6202599,rua
18355,ROBSON ROBERTO DE LIMA,MINIMERCADO CANAAN,R.ANTONIO MACHADO FLORENCE,839,PARQUE CORONEL RENNO,JACUTINGA,MG,2;27;53;97,-22.2798229,-46.6025653,rua
18366,SUPERMERCADO PAIS & FILHOS LTDA ME,SM.DO GATO,R.GOVERNADOR VALADARES,380,CENTRO,SAPUCAI MIRIM,MG,88;92;94;155,-22.7510207,-45.7436569,rua
18378,PADARIA E LANCHONETE SAO LAZARO,PADARIA E LANCHONETE SAO LAZAR,AV.MARIQUINHA AMARELI,152,MARCILANDIA,NEPOMUCENO,MG,20;66;71;178,-21.232744,-45.2352276,cidade
18391,REGINA SILVA DOS SANTOS,REGINA SILVA DOS SANTOS,R. MANOEL JOSE LEMOS,276,PASSARO DA ILHA II,SANTA CRUZ DO PRATA,MG,10;42;86;172,-21.197,-46.7813571,cidade
18392,MARCOS JOEL CORREIA,MARCOS JOEL CORREIA,R.NICANOR MENDONCA,161,N.S.APARECIDA,BOM JESUS DA PENHA,MG,10;42;86;172,-21.0194324,-46.517637,rua
18397,ETHEL MOSCARDINI E CIA LTDA,ETHEL MOSCARDINI E CIA LTDA,AVENIDA JOAO JULIO DE FARIA,151,CENTRO,BOA ESPERANCA,MG,23;46;63;177,-21.094378,-45.5590433,rua
18399,MARIA AUXILIADORA BARBOSA SILVA,MARIA AUXILIADORA BARBOSA SILV,RUA HERCULANO COBRA,978,CENTRO,BORDA DA MATA,MG,107;109;941,-22.2767568,-46.163885,rua
18400,BENEDITO CARLOS RIBEIRO,C.CARNE S.FRANCISCO,R. ANTONIO SCODELER,1035,FAISQUEIRA,POUSO ALEGRE,MG,29;40;67;159,-22.2343858,-45.9327241,cidade
18408,SUPERMERCADO AFONSOFT,SUPERMERCADO AFONSOFT,R.ALVES CORREA,218,CENTRO,CONCEICAO DOS OUROS,MG,14;36;62;80,-22.414618,-45.7971652,rua
18431,SUPERMERCADO SUPER KIKO LTDA,SUPERMERCADO SUPER KIKO LTDA,PC.CLAUDIO MANOEL,6,CENTRO,TRES PONTAS,MG,35;47;69;95,-21.3686224,-45.5122937,cidade
18432,SUPERMERCADO LISBOA LTDA ME,SUPERMERCADO LISBOA LTDA ME,R.RECIFE,43,CENTRO,SAO JOAO BATISTA DO GLORIA,MG,12;22;45;65,-20.6324266,-46.5072187,rua
18451,ACHEI FARMA REDE DE DROGARIAS LTD,DROGA FORT LTDA,AV.J.K,322,COLEGIO D.PASSOS,PASSOS,MG,12;22;45;65,-20.7167803,-46.6156864,cidade
18465,RECHE & RECHE LTDA ME,RECHE & RECHE LTDA ME,R. ASSIS FIGUEIREDO,1851,CENTRO,POCOS DE CALDAS,MG,4;5;75;171,-21.7856824,-46.5658061,rua
18483,CESAR DE CASTRO  ME,CESAR DE CASTRO  ME,RUA JOAQUIM DOS SANTOS,1127,TRANCADOR,CAXAMBU,MG,58;85,-21.9724473,-44.9387782,rua
